# x_local, y_local
455339.2312,4443606.9260
455339.2422,4443606.8773
455339.2529,4443606.8285
455339.2634,4443606.7797
455339.2738,4443606.7309
455339.2838,4443606.6819
455339.2929,4443606.6328
455339.3014,4443606.5835
455339.3098,4443606.5343
455339.3176,4443606.4850
455339.3247,4443606.4356
455339.3316,4443606.3861
455339.3389,4443606.3367
455339.3467,4443606.2873
455339.3554,4443606.2381
455339.3645,4443606.1889
455339.3737,4443606.1398
455339.3827,4443606.0906
455339.3914,4443606.0414
455339.3999,4443605.9921
455339.4077,4443605.9427
455339.4150,4443605.8932
455339.4227,4443605.8438
455339.4311,4443605.7946
455339.4399,4443605.7454
455339.4486,4443605.6963
455339.4573,4443605.6472
455339.4657,4443605.5981
455339.4735,4443605.5488
455339.4804,4443605.4994
455339.4862,4443605.4498
455339.4909,4443605.4000
455339.4946,4443605.3500
455339.4984,4443605.3001
455339.5032,4443605.2504
455339.5092,4443605.2010
455339.5155,4443605.1516
455339.5226,4443605.1024
455339.5309,4443605.0533
455339.5412,4443605.0047
455339.5527,4443604.9562
455339.5642,4443604.9078
455339.5745,4443604.8591
455339.5845,4443604.8103
455339.5943,4443604.7614
455339.6030,4443604.7123
455339.6093,4443604.6627
455339.6144,4443604.6129
455339.6204,4443604.5632
455339.6270,4443604.5136
455339.6322,4443604.4640
455339.6363,4443604.4145
455339.6393,4443604.3649
455339.6414,4443604.3152
455339.6430,4443604.2655
455339.6441,4443604.2156
455339.6454,4443604.1657
455339.6485,4443604.1159
455339.6542,4443604.0662
455339.6608,4443604.0166
455339.6672,4443603.9670
455339.6737,4443603.9175
455339.6794,4443603.8678
455339.6843,4443603.8181
455339.6884,4443603.7684
455339.6917,4443603.7185
455339.6949,4443603.6686
455339.6985,4443603.6187
455339.7025,4443603.5689
455339.7068,4443603.5191
455339.7115,4443603.4693
455339.7160,4443603.4195
455339.7203,4443603.3697
455339.7242,4443603.3198
455339.7277,4443603.2699
455339.7308,4443603.2200
455339.7337,4443603.1701
455339.7364,4443603.1202
455339.7391,4443603.0703
455339.7420,4443603.0204
455339.7451,4443602.9705
455339.7483,4443602.9205
455339.7516,4443602.8706
455339.7542,4443602.8207
455339.7552,4443602.7708
455339.7552,4443602.7208
455339.7548,4443602.6709
455339.7547,4443602.6210
455339.7555,4443602.5711
455339.7582,4443602.5214
455339.7624,4443602.4718
455339.7679,4443602.4221
455339.7739,4443602.3725
455339.7793,4443602.3228
455339.7833,4443602.2730
455339.7862,4443602.2231
455339.7879,4443602.1731
455339.7891,4443602.1231
455339.7909,4443602.0731
455339.7934,4443602.0232
455339.7965,4443601.9734
455339.7999,4443601.9235
455339.8037,4443601.8737
455339.8081,4443601.8239
455339.8129,4443601.7741
455339.8177,4443601.7244
455339.8220,4443601.6746
455339.8260,4443601.6248
